,CONFPOP,ADMALE,ADFEML,JUVMALE,JUVFEML,WHITE,BLACK,HISP,ASIAN,OTHER
TOTAL,613246,530250,77324,5273,399,231714,246185,104977,4135,5316
CALIFORNIA,82040,71238,10792,10,0,23399,19943,33913,1606,783
FLORIDA,61948,52592,8550,786,20,31546,25320,4716,142,24
TEXAS,57365,48753,8094,447,71,19967,17815,17378,155,18
GEORGIA,34966,30594,4030,294,48,11152,20911,2516,164,8
PENNSYLVANIA,32179,28045,3834,291,9,12694,14783,4341,250,18
LOUISIANA,27699,24073,3379,233,14,8502,16513,429,44,6
VIRGINIA,27337,23681,3545,108,3,10202,14265,1879,118,20
NEW YORK,25316,22199,2275,804,38,4029,12775,6143,168,47
TENNESSEE,19325,16384,2842,93,6,8207,10242,813,25,6
NEW JERSEY,15864,14278,1539,43,4,3089,8002,3327,67,42
ILLINOIS,15070,13232,1615,209,14,3877,9100,2012,16,4
OHIO,14682,12311,2315,55,1,6351,6775,260,30,6
ARIZONA,14163,11814,2086,249,14,5629,1635,5859,64,866
MASSACHUSETTS,12607,11971,546,86,4,5097,3067,3193,161,16
MICHIGAN,11810,10216,1457,123,14,5679,5486,539,41,19
WASHINGTON,11558,9909,1614,34,1,7298,2241,1140,323,503
KENTUCKY,11359,9643,1716,0,0,7409,3483,401,17,4
NORTH CAROLINA,11027,9451,1186,361,29,3082,6511,1109,32,260
COLORADO,10823,9326,1466,29,2,5063,1822,2362,98,92
MARYLAND,10083,8620,1215,242,6,2542,6882,461,31,6
INDIANA,9914,8651,1170,80,13,5594,3740,544,8,3
WISCONSIN,9896,8581,1104,188,23,4761,4049,649,85,174
SOUTH CAROLINA,9553,8467,1036,46,4,2960,5912,397,4,12
ALABAMA,9306,7931,1323,47,5,3581,5060,611,10,5
MISSISSIPPI,7163,6555,539,56,13,1838,4574,164,15,5
NEW MEXICO,7022,6229,703,74,16,1816,504,4009,14,649
NEVADA,6517,5396,1070,49,2,2789,1909,1551,151,101
MISSOURI,6287,5624,618,42,3,1834,3846,147,18,4
OKLAHOMA,5571,4595,926,48,2,2422,1967,538,20,284
UTAH,4906,4164,738,4,0,3247,277,1083,34,221
MINNESOTA,4715,4168,530,15,2,1758,932,173,71,231
OREGON,4444,3814,621,7,2,3165,539,626,54,41
WEST VIRGINIA,3960,3466,494,0,0,3366,547,43,2,2
KANSAS,3686,3177,507,2,0,1900,1204,524,22,20
D.C.,3103,2766,299,37,1,66,2801,159,4,0
ARKANSAS,2852,2327,463,48,14,1526,1128,72,9,5
IDAHO,2419,1979,435,5,0,591,38,353,9,13
IOWA,1650,1396,241,12,1,1014,374,179,17,61
NEBRASKA,1445,1244,201,0,0,837,513,66,4,25
NEW HAMPSHIRE,1199,1083,109,7,0,945,100,135,11,2
SOUTH DAKOTA,1105,889,216,0,0,558,70,41,9,403
MAINE,760,632,128,0,0,636,73,40,7,2
WYOMING,723,618,105,0,0,522,48,126,0,27
MONTANA,479,408,71,0,0,259,24,60,1,128
NORTH DAKOTA,388,337,42,9,0,207,24,19,0,135
ALASKA,0,0,0,0,0,0,0,0,0,0
CONNETICUT,0,0,0,0,0,0,0,0,0,0
DELEWARE,0,0,0,0,0,0,0,0,0,0
HAWAII,0,0,0,0,0,0,0,0,0,0
RHODE ISLAND,0,0,0,0,0,0,0,0,0,0
VERMONT,0,0,0,0,0,0,0,0,0,0
POPTOTAL10,,151400000,158600000,,,223553265,38929319,50477594,14674252,3472261
